,one of the,you can see,we need to,we have to,thank you very,you very much,the people who,so you can,as you can,can see the,and we were,im trying to,the whole thing,oh my god,im going to,the united states,and im going,thought to myself,this is the,percent of the,to show you,applause thank you,five percent of,we can see,the very first,show you what,of my work,of the design,on top of,more likely to,in this country,the cost of,im interested in,and this is,so this is,in the united,the size of,would like to,you see the,can use the,in front of,all of us,believe that the,like to invite,in this case,on the left,this is actually,this is called,next to the,that they have,use all of,how do we,we talk about,in the west,id like to,of the image,show you some,are all in,you can just,im kind of,little bit more,eighty percent of,the developing world,in the developing,one of my,and we need,and try to,here it is,to the environment,would love to,show you something,by two thousand,thinking about my,in love with,in the sky,front of you,the surface of,we can just,in the air,have it all,led me to,about three years,been working on,the good news,in the wind,and it still,the roof of,part of my,technology to create,like to show,they say we,laughter one of,our solar system,the shape of,size of your,of what youve,can see here,and im in,to start the,to visualize the,into the open,did you see,of your head,you bring the,it all wrong,in central park,you doing here,are not worthy,to stand on,you may ask,the body and,interact with the,image of the,of the body,here we see,today im going,music this is,laughter thank you,in the solar,of light and,older than the,of music and,for the night,the track and,in three minutes,of the camera,around the house,area where the,it might take,for twelve years,science and art,my work as,wanted to create,but now the,into the environment,the next project,video of what,an exercise in,as an artist,and with it,music thank you,the book as
0,0.004908720011835473,0.0032540556369089453,0.002878451667145517,0.002634757099904285,0.002126948729759611,0.0021233160257249735,0.0018519273229394282,0.001839307764967955,0.001830681737151242,0.0018135508554235173,0.0017002185600106536,0.0016607221435490018,0.0016529336506828642,0.001650815862823257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.006454057793339233,0.0,0.0,0.003464217668392671,0.0027965437002394886,0.0027917673671569096,0.0,0.0,0.0,0.0,0.0,0.0021835420776292434,0.0,0.0,0.004845046832719075,0.003172286553072637,0.002308282912113283,0.0020975655792644736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.005176026547133444,0.0,0.0,0.0,0.002242772670489095,0.002238942145937719,0.0019527748504262288,0.0,0.0,0.0,0.0,0.0,0.0017429448890863865,0.0,0.003885631618319258,0.002544110998008748,0.0,0.0,0.0036443680838072847,0.0022824153979317786,0.0021498653396190563,0.0019311974485323998,0.0018623059237951533,0.0018527800831152307,0.00172737305410937,0.0017178031448373582,0.001680768889924104,0.001665040840378073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00573431825879866,0.0,0.0,0.0,0.002484680508805103,0.0024804368198139996,0.0,0.0,0.0,0.0,0.0,0.0019400392133963659,0.0,0.0,0.004304739964719324,0.0,0.0,0.0,0.0,0.002528599142864091,0.0,0.0,0.0020631762153928025,0.0,0.0,0.0,0.0,0.0,0.0020517459055668444,0.0019963902296044303,0.0019633928015043416,0.0019433583558096834,0.0018692339579494208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.004506712769486878,0.002987559701127609,0.0,0.002418979578791434,0.0019527589630982634,0.001949423764997497,0.0,0.0,0.0,0.0016650272939879706,0.0,0.0,0.0,0.0,0.003383179253881423,0.0022151311275765825,0.0,0.0,0.003173113590211515,0.001987275475785428,0.0,0.0,0.0,0.0016131964516779163,0.0,0.0,0.0,0.0,0.0016125071987716435,0.0,0.0,0.0,0.0,0.0029269006958230932,0.002064315678720405,0.0017843822650122126,0.001685790643659853,0.0016508569348292312,0.0016256535054724715,0.0014571874631765498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.003387334867778474,0.0,0.0019863181590777383,0.0018181531175365422,0.0,0.0,0.0,0.0012692415354368502,0.0,0.0,0.0,0.0,0.0,0.0,0.002542864752377398,0.0,0.0,0.0,0.002384975225472154,0.0,0.0,0.0012638289997955014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002199916721698567,0.0,0.0,0.0,0.0012408168754224028,0.0,0.0,0.0013625523608719228,0.0013139460882475797,0.0011289923269050131,0.001085002074570146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0065483759656844815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004915851274950877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021853613168899334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00263407825922213,0.002540112897113275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.004368624077385609,0.002896018874630663,0.0,0.0,0.0,0.0,0.0,0.0016369326766218985,0.0016292557521443503,0.0,0.0,0.0,0.0,0.0,0.003279516379807062,0.00214725802896003,0.001562431051931832,0.0,0.0030758872685058697,0.0,0.0018145103005698443,0.0,0.0,0.0,0.0,0.0014498449941106393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028372185018006586,0.0020010636662805043,0.0017297075995104459,0.0016341368913471556,0.0,0.0015758423952769362,0.0,0.001757275050372424,0.0,0.0,0.0,0.001593449390724276,0.0015914078158714802,0.0014906830353169358,0.0014430454777451234,0.001427100386984874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.004605979570576897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034576986207070044,0.0,0.0,0.0,0.0032430059600399622,0.002031048063357794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018527510810093985,0.0,0.0,0.0,0.0,0.0016778719703314576,0.0,0.0,0.0,0.0015696609482338418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.005083747305612426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018181936714538986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016276866267658364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
