,of the,in the,this is,and the,going to,to the,to be,on the,you can,thank you
0,13.982545555607787,7.886561484638753,0.10240119864641657,0.041811520948918955,0.031765652549919664,0.028546889778708107,0.028099057220526587,0.019911383044126884,0.009828719630732655,0.0023084832929743553
1,19.80049567851343,11.16805419827808,0.1450089673020795,0.059208735388608366,0.04498291555986304,0.04042486866574985,0.03979069897199086,0.028196243119718738,0.013918318363396359,0.0032690123042815504
2,13.853918242596245,7.814011947171839,0.101459196277916,0.04142689115663994,0.03147343604918989,0.028284283108665882,0.027840570222285813,0.019728215559413596,0.00973830391984388,0.002287247245365825
3,13.647143343453017,7.697384903184199,0.09994487991555905,0.04080857934833188,0.031003683272336307,0.02786212962943206,0.027425039323445727,0.019433764580914885,0.009592956100144719,0.0022531092267782755
4,14.334849335004401,8.08527104052271,0.10498129603672383,0.042865002719748385,0.03256601893555594,0.02926615631848519,0.02880704018520951,0.020413069626985626,0.010076363742369256,0.0023666477656416824
5,10.373598424764126,5.851010566601928,0.07597106755331798,0.03101981153057966,0.023566819213493885,0.021178831112161487,0.02084658580663865,0.014772180856481493,0.007291890455377427,0.0017126551496904556
6,15.862478879998676,8.946898437654001,0.0,0.047433020357788486,0.03603649926821742,0.03238497842925313,0.03187693542179937,0.022588440120072075,0.011150176978854703,0.0
7,14.223356062398812,8.02238559909642,0.10416477484532709,0.04253160825415034,0.032312727677168286,0.029038530658230307,0.028582985428213435,0.020254301307664625,0.009997992024373051,0.002348240505242247
8,12.81383429044938,7.227374413600379,0.09384213950029467,0.03831676419292823,0.02911056547492638,0.026160838430838114,0.025750437322714807,0.018247118295193356,0.009007200021957703,0.002115531986704727
9,15.376601148539255,8.672849296320454,0.1126105674003536,0.045980117031513876,0.034932678569911654,0.03139300611700573,0.030900524787257768,0.02189654195423203,0.010808640026349244,0.002538638384045672
10,12.104983882892606,6.827562211996954,0.088650872208789,0.03619711340778752,0.027500193767802793,0.024713643113387494,0.02432594504528803,0.017237703240565637,0.008508929382445149,0.001998502557652976
11,11.17017491811425,6.300302826515514,0.08180479699894798,0.03340178658702906,0.025376487704582423,0.022805128789186103,0.022447370755141444,0.015906519351569077,0.00785182619715161,0.0018441679360541208
12,11.858286666196323,6.6884178223129025,0.08684418467882758,0.035459423278124416,0.026939745168551604,0.024209983874393028,0.02383018701750078,0.016886402201851006,0.008335519056911298,0.0
13,27.588406155514935,15.5606617223853,0.20204374431205685,0.08249665394123988,0.0626755493738178,0.05632473619053292,0.05544113552886227,0.039286360295039145,0.01939265694382704,0.0045547768420647035
14,14.35896854308349,8.098874973849444,0.10515793310240537,0.042937125551021096,0.03262081313455015,0.029315398308925714,0.028855509686362413,0.020447415790126936,0.010093317803629553,0.0023706297865597557
15,16.04137901774302,9.047803307251602,0.11747906937442905,0.047967979234004136,0.03644292595169355,0.03275022254687628,0.03223644973106778,0.022843196963531532,0.011275930854556072,0.002648391547265692
16,14.488987499896924,8.172209438807899,0.10611012717690366,0.04332591672748761,0.03291619118217482,0.02958084617137213,0.02911679330548058,0.020632564999318804,0.010184711739599034,0.00239209559107869
17,11.852796718665678,6.685321332580351,0.08680397903777258,0.03544300687845862,0.026927273064306905,0.024198775548525255,0.0238191545235112,0.016878584423053854,0.008331660020310876,0.0019568670877018724
